archetype,concept,primary_table,leaves,mapped_primary,externalised,not_mapped,auxiliary,source
openEHR-EHR-ACTION.health_education.v1,Health education,Observation,17,2,0,15,15,medical_data/action/Health_education_v1.yml
openEHR-EHR-ACTION.medication.v1,Medication management,DrugExposure,21,3,0,18,18,medical_data/action/Medication_v1.yml
openEHR-EHR-ACTION.procedure.v1,Procedure,ProcedureOccurrence,25,3,0,22,22,medical_data/action/Procedure_v1.yml
openEHR-EHR-ACTION.service.v1,Service,Observation,15,3,0,12,12,medical_data/action/Service_v1.yml
openEHR-EHR-ADMIN_ENTRY.episode_institution.v0,Admission,Visit,25,2,0,23,23,medical_data/admin_entry/Episode_institution_v0.yml
openEHR-EHR-ADMIN_ENTRY.person_data.v0,Personendaten,Person,8,1,0,7,7,person_data/person_data_v0.yml
openEHR-EHR-ADMIN_ENTRY.translation_requirements.v1,Translation requirement,Observation,3,1,0,2,2,medical_data/admin_entry/Translation_requirements_v1.yml
openEHR-EHR-CLUSTER.address.v1,Address,Observation,15,1,0,14,14,medical_data/cluster/Address_v1.yml
openEHR-EHR-CLUSTER.adverse_reaction_event.v1,Adverse reaction event,Observation,19,3,0,16,16,medical_data/cluster/Adverse_reaction_event_v1.yml
openEHR-EHR-CLUSTER.anatomical_location.v1,Anatomical location,Observation,8,2,0,6,6,medical_data/cluster/Anatomical_location_v1.yml
openEHR-EHR-CLUSTER.anatomical_location_circle.v1,Circular anatomical location,Observation,6,1,0,5,5,medical_data/cluster/Anatomical_location_circle_v1.yml
openEHR-EHR-CLUSTER.anatomical_location_relative.v2,Relative anatomical location,Observation,6,1,0,5,5,medical_data/cluster/Anatomical_location_relative_v2.yml
openEHR-EHR-CLUSTER.boston_bowel_preparation_scale.v1,Boston Bowel Preparation Scale,Measurement,4,1,0,3,3,medical_data/cluster/Boston_bowel_preparation_scale_v1.yml
openEHR-EHR-CLUSTER.clinical_evidence.v1,Clinical evidence,Observation,12,1,0,11,11,medical_data/cluster/Clinical_evidence_v1.yml
openEHR-EHR-CLUSTER.ctcae.v1,Common Terminology Criteria for Adverse Events (CTCAE),Measurement,5,2,0,3,3,medical_data/cluster/Ctcae_v1.yml
openEHR-EHR-CLUSTER.device.v1,Medical device,DeviceExposure,18,6,0,12,12,medical_data/cluster/Device_v1.yml
openEHR-EHR-CLUSTER.dosage.v1,Dosage,DrugExposure,10,2,0,8,8,medical_data/cluster/Dosage_v1.yml
openEHR-EHR-CLUSTER.dosage.v2,Dosage,DrugExposure,8,2,0,6,6,medical_data/cluster/Dosage_v2.yml
openEHR-EHR-CLUSTER.education_record.v1,Education record,Measurement,9,1,0,8,8,medical_data/cluster/Education_record_v1.yml
openEHR-EHR-CLUSTER.exam.v2,Physical examination findings,Observation,9,1,0,8,8,medical_data/cluster/Exam_v2.yml
openEHR-EHR-CLUSTER.family_prevalence.v1,Family prevalence,Observation,9,1,0,8,8,medical_data/cluster/Family_prevalence_v1.yml
openEHR-EHR-CLUSTER.figo_staging_cancer.v1,FIGO staging of gynaecological cancer,Measurement,5,2,0,3,3,medical_data/cluster/Figo_staging_cancer.yml
openEHR-EHR-CLUSTER.fnclcc.v1,FNCLCC grading system,Measurement,5,2,0,3,3,medical_data/cluster/Fnclcc.yml
openEHR-EHR-CLUSTER.genomic_conversion_variant.v1,Genomic conversion variant,Observation,6,1,0,5,5,medical_data/cluster/Genomic_conversion_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_copy_number_variant.v1,Genomic copy number variant,Observation,5,1,0,4,4,medical_data/cluster/Genomic_copy_number_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,Genomic deletion-insertion variant,Observation,5,1,0,4,4,medical_data/cluster/Genomic_deletion_insertion_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_deletion_variant.v1,Genomic deletion variant,Observation,4,1,0,3,3,medical_data/cluster/Genomic_deletion_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_duplication_variant.v1,Genomic duplication variant,Observation,4,1,0,3,3,medical_data/cluster/Genomic_duplication_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_insertion_variant.v1,Genomic insertion variant,Observation,4,1,0,3,3,medical_data/cluster/Genomic_insertion_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_inversion_variant.v1,Genomic inversion variant,Observation,4,1,0,3,3,medical_data/cluster/Genomic_inversion_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_repeated_sequence_variant.v1,Genomic repeated sequence variant,Observation,6,1,0,5,5,medical_data/cluster/Genomic_repeated_sequence_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_substitution_variant.v1,Genomic substitution variant,Observation,4,1,0,3,3,medical_data/cluster/Genomic_substitution_variant_v1.yml
openEHR-EHR-CLUSTER.genomic_variant_result.v1,Genomic variant result,Observation,42,1,0,41,41,medical_data/cluster/Genomic_variant_result_v1.yml
