cdm_table,cdm_column,omocl_slots
CONDITION_OCCURRENCE,condition_start_date,ConditionOccurrence.condition_start_date
CONDITION_OCCURRENCE,condition_start_datetime,ConditionOccurrence.condition_start_date
DEVICE_EXPOSURE,device_concept_id,DeviceExposure.concept_id
DEVICE_EXPOSURE,device_exposure_end_date,DeviceExposure.device_exposure_end_date
DEVICE_EXPOSURE,device_exposure_end_datetime,DeviceExposure.device_exposure_end_date
DEVICE_EXPOSURE,device_exposure_start_date,DeviceExposure.device_exposure_start_date
DEVICE_EXPOSURE,device_exposure_start_datetime,DeviceExposure.device_exposure_start_date
DEVICE_EXPOSURE,device_source_concept_id,DeviceExposure.concept_id
DEVICE_EXPOSURE,device_source_value,DeviceExposure.concept_id
DRUG_EXPOSURE,drug_exposure_end_date,DrugExposure.drug_exposure_end_date
DRUG_EXPOSURE,drug_exposure_end_datetime,DrugExposure.drug_exposure_end_date
DRUG_EXPOSURE,drug_exposure_start_date,DrugExposure.drug_exposure_start_date
DRUG_EXPOSURE,drug_exposure_start_datetime,DrugExposure.drug_exposure_start_date
MEASUREMENT,measurement_date,Measurement.measurement_date
MEASUREMENT,measurement_datetime,Measurement.measurement_date
OBSERVATION,observation_date,Observation.observation_date
OBSERVATION,observation_datetime,Observation.observation_date
OBSERVATION,qualifier_concept_id,Observation.qualifier
OBSERVATION,qualifier_source_value,Observation.qualifier
OBSERVATION,value_as_concept_id,Observation.value
OBSERVATION,value_as_number,Observation.value
OBSERVATION,value_as_string,Observation.value
OBSERVATION,value_source_value,Observation.value
PERSON,ethnicity_concept_id,Person.ethnicity_concept_id
PERSON,ethnicity_source_concept_id,Person.ethnicity_concept_id
PERSON,ethnicity_source_value,Person.ethnicity_concept_id
PERSON,year_of_birth,Person.year_of_birth
PROCEDURE_OCCURRENCE,procedure_date,ProcedureOccurrence.procedure_start_date
PROCEDURE_OCCURRENCE,procedure_datetime,ProcedureOccurrence.procedure_start_date
PROCEDURE_OCCURRENCE,procedure_end_date,ProcedureOccurrence.procedure_end_date
PROCEDURE_OCCURRENCE,procedure_end_datetime,ProcedureOccurrence.procedure_end_date
SPECIMEN,specimen_concept_id,Specimen.concept_id
SPECIMEN,specimen_date,Specimen.specimen_date
SPECIMEN,specimen_datetime,Specimen.specimen_date
SPECIMEN,specimen_source_value,Specimen.concept_id
