archetype,omop_table,omop_field,n_paths,paths
openEHR-EHR-ACTION.health_education.v1,Observation,observation_date,2,/description[at0001]/items[at0026] | .
openEHR-EHR-ACTION.medication.v1,DrugExposure,drug_exposure_end_date,3,/items[at0043] | ../ | .
openEHR-EHR-ACTION.medication.v1,DrugExposure,drug_exposure_start_date,3,/items[at0043] | ../ | .
openEHR-EHR-ACTION.procedure.v1,ProcedureOccurrence,procedure_start_date,2,description[at0001]/items[at0066] | .
openEHR-EHR-ACTION.service.v1,Observation,observation_date,3,/description[at0001]/items[at0032] | /description[at0001]/items[at0025] | .
openEHR-EHR-ADMIN_ENTRY.person_data.v0,Person,ethnicity_concept_id,2,/data[at0001]/items[openEHR-EHR-CLUSTER.ethnischer_hintergrund.v0]/items[at0002] | /data[at0001]/item[openEHR-EHR-EVALUATION.ethnicity.v1]/items[at0003]
openEHR-EHR-ADMIN_ENTRY.person_data.v0,Person,year_of_birth,2,/data[at0001]/items[openEHR-EHR-CLUSTER.person_birth_data_iso.v0]/items[at0001] | ../content[openEHR-EHR-OBSERVATION.age.v0]/data[at0001]/events[at0002]/data[at0003]/items[at0004]
openEHR-EHR-CLUSTER.Oocyte_specimen.v1,Observation,observation_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.adverse_reaction_event.v1,Observation,observation_date,4,/items[at0008] | /items[at0015] | ../../ | ../../../../../context
openEHR-EHR-CLUSTER.anatomical_location.v1,Observation,value,2,/items[at0065] | /items[at0001]
openEHR-EHR-CLUSTER.boston_bowel_preparation_scale.v1,Measurement,measurement_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.clinical_evidence.v1,Observation,observation_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.ctcae.v1,Measurement,measurement_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.device.v1,DeviceExposure,concept_id,2,/items[at0001] | /items[at0003]
openEHR-EHR-CLUSTER.device.v1,DeviceExposure,device_exposure_end_date,3,../items[at0022]/items[at0009] | ../ | ../../
openEHR-EHR-CLUSTER.device.v1,DeviceExposure,device_exposure_start_date,4,../items[at0022]/items[at0008] | ../ | ../../ | ../../../../../context
openEHR-EHR-CLUSTER.dosage.v1,DrugExposure,drug_exposure_end_date,2,../items[at0043] | ../../
openEHR-EHR-CLUSTER.dosage.v1,DrugExposure,drug_exposure_start_date,2,../items[at0043] | ../../
openEHR-EHR-CLUSTER.dosage.v2,DrugExposure,drug_exposure_end_date,2,../items[at0043] | ../../
openEHR-EHR-CLUSTER.dosage.v2,DrugExposure,drug_exposure_start_date,2,../items[at0043] | ../../
openEHR-EHR-CLUSTER.education_record.v1,Measurement,measurement_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.exam.v2,Observation,observation_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.family_prevalence.v1,Observation,observation_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.figo_staging_cancer.v1,Measurement,measurement_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.fnclcc.v1,Measurement,measurement_date,2,../../ | ../../../../../context
openEHR-EHR-CLUSTER.genomic_conversion_variant.v1,Observation,observation_date,2,../../ | ../../../../../context
