file,conceptmaps,entries,zeros
medical_data/observation/Spirometry_result_v2.yml,4,35,9
medical_data/observation/Body_segment_circumference_v1.yml,1,4,2
medical_data/observation/Body_segment_length_v1.yml,1,12,2
medical_data/observation/Modified_rankin_scale_v1.yml,1,7,2
medical_data/cluster/Who_grade_bone_sarcoma.yml,1,4,1
medical_data/evaluation/Advance_intervention_decisions_v1.yml,2,9,1
medical_data/evaluation/Financial_summary_v1.yml,1,3,1
medical_data/evaluation/Menstruation_summary_v1.yml,1,4,1
medical_data/observation/Urinalysis_v1.yml,8,39,1
medical_data/cluster/Figo_staging_cancer.yml,1,7,0
medical_data/cluster/Fnclcc.yml,1,4,0
medical_data/evaluation/Advance_care_directive_v2.yml,1,3,0
medical_data/evaluation/Art_cycle_summary_v1.yml,1,8,0
medical_data/evaluation/Contraceptive_summary_v1.yml,2,20,0
medical_data/evaluation/Exclusion_global_v1.yml,1,5,0
medical_data/evaluation/Exclusion_specific_v1.yml,1,5,0
medical_data/evaluation/Substance_use_summary_v1.yml,1,3,0
medical_data/evaluation/alcohol_consumption_summary_v1.yml,1,3,0
medical_data/observation/Acvpu_v1.yml,1,5,0
medical_data/observation/Asa_status_v1.yml,1,6,0
medical_data/observation/Body_segment_discrepancy_v1.yml,1,10,0
medical_data/observation/Cormack_lehane_v1.yml,1,4,0
medical_data/observation/Ecog_v1.yml,1,6,0
medical_data/observation/Ecog_v2.yml,1,6,0
medical_data/observation/Glasgow_outcome_scale_extended_v1.yml,1,8,0
medical_data/observation/Mallampati_classification_v1.yml,1,4,0
medical_data/observation/Menstrual_diary_v1.yml,2,8,0
medical_data/observation/Menstruation_v1.yml,1,2,0
medical_data/observation/Nine_hole_peg_test_v1.yml,1,2,0
medical_data/observation/Nyha_heart_failure_v1.yml,2,10,0
medical_data/observation/Problem_screening_v1.yml,1,3,0
medical_data/observation/Social_context_screening_v1.yml,2,5,0
medical_data/observation/Substance_use_screening_v1.yml,1,3,0
medical_data/observation/Symptom_sign_screening_v1.yml,1,3,0
medical_data/observation/Tanner_v1.yml,3,15,0
medical_data/observation/Testicular_volume_v1.yml,1,2,0
medical_data/observation/Travel_screening_v1.yml,2,6,0
