archetype,category,concept,elements,slots,leaves
openEHR-EHR-ACTION.health_education.v1,entry/action,Health education,11,6,17
openEHR-EHR-ACTION.medication.v1,entry/action,Medication management,16,5,21
openEHR-EHR-ACTION.procedure.v1,entry/action,Procedure,21,4,25
openEHR-EHR-ACTION.service.v1,entry/action,Service,10,5,15
openEHR-EHR-ADMIN_ENTRY.episode_institution.v0,entry/admin_entry,Admission,19,6,25
openEHR-EHR-ADMIN_ENTRY.person_data.v0,entry,Personendaten,2,6,8
openEHR-EHR-ADMIN_ENTRY.translation_requirements.v1,entry/admin_entry,Translation requirement,2,1,3
openEHR-EHR-CLUSTER.address.v1,cluster,Address,14,1,15
openEHR-EHR-CLUSTER.adverse_reaction_event.v1,cluster,Adverse reaction event,14,5,19
openEHR-EHR-CLUSTER.anatomical_location.v1,cluster,Anatomical location,6,2,8
openEHR-EHR-CLUSTER.anatomical_location_circle.v1,cluster,Circular anatomical location,5,1,6
openEHR-EHR-CLUSTER.anatomical_location_relative.v2,cluster,Relative anatomical location,5,1,6
openEHR-EHR-CLUSTER.boston_bowel_preparation_scale.v1,cluster,Boston Bowel Preparation Scale,4,0,4
openEHR-EHR-CLUSTER.clinical_evidence.v1,cluster,Clinical evidence,8,4,12
openEHR-EHR-CLUSTER.ctcae.v1,cluster,Common Terminology Criteria for Adverse Events (CTCAE),5,0,5
openEHR-EHR-CLUSTER.device.v1,cluster,Medical device,14,4,18
openEHR-EHR-CLUSTER.dosage.v1,cluster,Dosage,9,1,10
openEHR-EHR-CLUSTER.dosage.v2,cluster,Dosage,7,1,8
openEHR-EHR-CLUSTER.education_record.v1,cluster,Education record,7,2,9
openEHR-EHR-CLUSTER.exam.v2,cluster,Physical examination findings,5,4,9
openEHR-EHR-CLUSTER.family_prevalence.v1,cluster,Family prevalence,9,0,9
openEHR-EHR-CLUSTER.figo_staging_cancer.v1,cluster,FIGO staging of gynaecological cancer,5,0,5
openEHR-EHR-CLUSTER.fnclcc.v1,cluster,FNCLCC grading system,5,0,5
openEHR-EHR-CLUSTER.genomic_conversion_variant.v1,cluster,Genomic conversion variant,4,2,6
openEHR-EHR-CLUSTER.genomic_copy_number_variant.v1,cluster,Genomic copy number variant,4,1,5
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,cluster,Genomic deletion-insertion variant,4,1,5
openEHR-EHR-CLUSTER.genomic_deletion_variant.v1,cluster,Genomic deletion variant,3,1,4
openEHR-EHR-CLUSTER.genomic_duplication_variant.v1,cluster,Genomic duplication variant,3,1,4
openEHR-EHR-CLUSTER.genomic_insertion_variant.v1,cluster,Genomic insertion variant,3,1,4
openEHR-EHR-CLUSTER.genomic_inversion_variant.v1,cluster,Genomic inversion variant,3,1,4
openEHR-EHR-CLUSTER.genomic_repeated_sequence_variant.v1,cluster,Genomic repeated sequence variant,5,1,6
openEHR-EHR-CLUSTER.genomic_substitution_variant.v1,cluster,Genomic substitution variant,3,1,4
openEHR-EHR-CLUSTER.genomic_variant_result.v1,cluster,Genomic variant result,32,10,42
openEHR-EHR-CLUSTER.gist_modified_nih.v1,cluster,Modified NIH Criteria for GIST risk assessment,5,0,5
openEHR-EHR-CLUSTER.housing_record.v1,cluster,Housing record,7,2,9
openEHR-EHR-CLUSTER.imaging_exam-cervix.v1,cluster,Imaging examination of the cervix,6,2,8
openEHR-EHR-CLUSTER.imaging_exam-fallopian_tube.v1,cluster,Imaging examination of a fallopian tube,7,3,10
openEHR-EHR-CLUSTER.imaging_exam-foetus.v1,cluster,Imaging examination of a fetus,10,2,12
openEHR-EHR-CLUSTER.imaging_exam-gestational_sac.v1,cluster,Imaging examination of a gestational sac,10,2,12
openEHR-EHR-CLUSTER.imaging_exam-ovary.v1,cluster,Imaging examination of an ovary,13,2,15
openEHR-EHR-CLUSTER.imaging_exam-rectouterine_pouch.v1,cluster,Imaging examination of the rectouterine pouch,8,2,10
openEHR-EHR-CLUSTER.imaging_exam.v1,cluster,Imaging examination of a body structure,5,2,7
openEHR-EHR-CLUSTER.information_resource.v1,cluster,Information resource,8,2,10
openEHR-EHR-CLUSTER.inspired_oxygen.v1,cluster,Inspired oxygen,5,1,6
openEHR-EHR-CLUSTER.interpreter_request.v1,cluster,Interpreter request,4,2,6
openEHR-EHR-CLUSTER.item_transport.v1,cluster,Transportation of an item,11,5,16
openEHR-EHR-CLUSTER.knowledge_base_reference.v1,cluster,Knowledge base reference,8,0,8
openEHR-EHR-CLUSTER.laboratory_test_analyte.v1,cluster,Laboratory analyte result,12,1,13
openEHR-EHR-CLUSTER.language.v1,cluster,Language,4,0,4
openEHR-EHR-CLUSTER.media_file.v1,cluster,Media file,6,3,9
openEHR-EHR-CLUSTER.occupation_record.v1,cluster,Occupation record,10,2,12
openEHR-EHR-CLUSTER.oocyte_specimen.v1,cluster,Oocyte specimen,1,0,1
openEHR-EHR-CLUSTER.organisation.v1,cluster,Organisation,4,5,9
openEHR-EHR-CLUSTER.person.v1,cluster,Person,5,6,11
