archetype,code,kind,label,value_type,allowed,group
openEHR-EHR-ACTION.health_education.v1,at0002,element,Topic name,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0003,element,Description,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0035,element,Clinical indication,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0004,element,Method,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0020,element,Session Number,DV_COUNT,,
openEHR-EHR-ACTION.health_education.v1,at0010,element,Reason,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0019,element,Outcome,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0026,element,Scheduled date/ time,DV_DATE_TIME,,
openEHR-EHR-ACTION.health_education.v1,at0027,element,Comment,DV_TEXT,,
openEHR-EHR-ACTION.health_education.v1,at0030,element,Requestor order identifier,DV_TEXT / DV_IDENTIFIER,,
openEHR-EHR-ACTION.health_education.v1,at0031,element,Receiver order identifier,DV_TEXT / DV_IDENTIFIER,,
openEHR-EHR-ACTION.health_education.v1,at0025,slot,Material details,,openEHR-EHR-CLUSTER.multimedia(-[a-zA-Z0-9_]+)*.v1 / openEHR-EHR-CLUSTER.multimedia(-[a-zA-Z0-9_]+)*.v0,
openEHR-EHR-ACTION.health_education.v1,at0033,slot,Additional details,,any archetype,
openEHR-EHR-ACTION.health_education.v1,at0028,slot,Requestor,,openEHR-EHR-CLUSTER.individual_professional(-[a-zA-Z0-9_]+)*.v1 / openEHR-EHR-CLUSTER.organisation(-[a-zA-Z0-9_]+)*.v0,
openEHR-EHR-ACTION.health_education.v1,at0029,slot,Receiver,,openEHR-EHR-CLUSTER.individual_professional(-[a-zA-Z0-9_]+)*.v1 / openEHR-EHR-CLUSTER.organisation(-[a-zA-Z0-9_]+)*.v0,
openEHR-EHR-ACTION.health_education.v1,at0032,slot,Recipient,,openEHR-EHR-CLUSTER.individual_personal(-[a-zA-Z0-9_]+)*.v1,
openEHR-EHR-ACTION.health_education.v1,at0034,slot,Interpreter details,,openEHR-EHR-CLUSTER.interpreter_details(-[a-zA-Z0-9_]+)*.v0,
openEHR-EHR-ACTION.medication.v1,at0020,element,Medication item,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0156,element,Clinical indication,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0132,element,Substitution,DV_CODED_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0133,element,Substitution reason,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0043,element,Original scheduled date/time,DV_DATE_TIME,,
openEHR-EHR-ACTION.medication.v1,at0154,element,Restart date/time,DV_DATE_TIME,,
openEHR-EHR-ACTION.medication.v1,at0155,element,Restart criterion,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0021,element,Reason,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0147,element,Route,DV_TEXT,,Administration details
openEHR-EHR-ACTION.medication.v1,at0141,element,Body site,DV_TEXT,,Administration details
openEHR-EHR-ACTION.medication.v1,at0143,element,Administration method,DV_TEXT,,Administration details
openEHR-EHR-ACTION.medication.v1,at0033,element,Patient guidance,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0149,element,Double-checked?,DV_BOOLEAN,,
openEHR-EHR-ACTION.medication.v1,at0025,element,Sequence number,DV_COUNT,,
openEHR-EHR-ACTION.medication.v1,at0024,element,Comment,DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0103,element,Order ID,DV_IDENTIFIER / DV_TEXT,,
openEHR-EHR-ACTION.medication.v1,at0104,slot,Medication details,,openEHR-EHR-CLUSTER.medication(-[a-zA-Z0-9_]+)*.v2,
